rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_avg_weighted,three_year_ago_avg,three_year_ago_avg_weighted,confederation,rank_date
6,Brazil,BRA,1156.01,1202,-2,386,386,756.76,378.38,968.33,290.5,505.63,101.13,CONMEBOL,8/24/11
7,Brazil,BRA,1131.52,1156,-1,377.18,377.18,663.42,331.71,1045.51,313.65,544.88,108.98,CONMEBOL,9/21/11
5,Brazil,BRA,1144.32,1132,2,389.36,389.36,706.19,353.09,981.2,294.36,537.53,107.51,CONMEBOL,10/19/11
6,Brazil,BRA,1142.6,1144,-1,417.86,417.86,689.59,344.79,943.54,283.06,484.46,96.89,CONMEBOL,11/23/11
6,Brazil,BRA,1142.6,1143,0,417.86,417.86,689.59,344.79,943.54,283.06,484.46,96.89,CONMEBOL,12/21/11
6,Brazil,BRA,1142.6,1143,0,417.86,417.86,689.59,344.79,943.54,283.06,484.46,96.89,CONMEBOL,1/18/12
7,Brazil,BRA,1152.45,1143,-1,445.72,445.72,636.54,318.27,966.13,289.84,493.1,98.62,CONMEBOL,2/15/12
5,Brazil,BRA,1156.52,1152,2,451.8,451.8,649.74,324.87,937.43,281.23,493.1,98.62,CONMEBOL,3/7/12
6,Brazil,BRA,1165.19,1157,-1,451.92,451.92,634.38,317.19,975.85,292.75,516.65,103.33,CONMEBOL,4/11/12
6,Brazil,BRA,1165.19,1165,0,451.92,451.92,634.38,317.19,975.85,292.75,516.65,103.33,CONMEBOL,5/9/12
5,Brazil,BRA,1154.52,1165,1,449,449,630.6,315.3,902.65,270.79,597.17,119.43,CONMEBOL,6/6/12
11,Brazil,BRA,1011.81,1155,-6,422.88,422.88,327.69,163.85,739.96,221.99,1015.47,203.09,CONMEBOL,7/4/12
13,Brazil,BRA,991,1012,-2,351.54,351.54,428.77,214.38,739.96,221.99,1015.47,203.09,CONMEBOL,8/8/12
12,Brazil,BRA,996.08,991,1,388.45,388.45,391.5,195.75,710.01,213,994.38,198.88,CONMEBOL,9/5/12
14,Brazil,BRA,1000.95,996,-2,397.8,397.8,390.04,195.02,663.42,199.03,1045.51,209.1,CONMEBOL,10/3/12
13,Brazil,BRA,994.25,1001,1,391.47,391.47,389.36,194.68,706.19,211.86,981.2,196.24,CONMEBOL,11/7/12
18,Brazil,BRA,945.73,994,-5,341.21,341.21,417.86,208.93,689.59,206.88,943.54,188.71,CONMEBOL,12/19/12
18,Brazil,BRA,945.73,946,0,341.21,341.21,417.86,208.93,689.59,206.88,943.54,188.71,CONMEBOL,1/17/13
18,Brazil,BRA,923.89,946,0,316.84,316.84,445.72,222.86,636.54,190.96,966.13,193.23,CONMEBOL,2/14/13
18,Brazil,BRA,907.75,924,0,299.44,299.44,451.8,225.9,649.74,194.92,937.43,187.49,CONMEBOL,3/14/13
19,Brazil,BRA,909.36,908,-1,297.92,297.92,451.92,225.96,634.38,190.31,975.85,195.17,CONMEBOL,4/11/13
19,Brazil,BRA,902.25,909,0,290.81,290.81,451.92,225.96,634.38,190.31,975.85,195.17,CONMEBOL,5/9/13
22,Brazil,BRA,872.04,902,-3,272.3,272.3,449,224.5,630.6,189.18,930.3,186.06,CONMEBOL,6/6/13
9,Brazil,BRA,1094.83,872,13,637.09,637.09,422.88,211.44,327.69,98.31,739.96,147.99,CONMEBOL,7/4/13
9,Brazil,BRA,1089.49,1095,0,637.09,637.09,351.54,175.77,428.77,128.63,739.96,147.99,CONMEBOL,8/8/13
8,Brazil,BRA,1066.81,1089,1,625.48,625.48,382.38,191.19,391.5,117.45,663.42,132.68,CONMEBOL,9/12/13
11,Brazil,BRA,1077.89,1067,-3,624.11,624.11,391.47,195.74,389.36,116.81,706.19,141.24,CONMEBOL,10/17/13
10,Brazil,BRA,1102.21,1078,1,668.33,668.33,341.21,170.61,417.86,125.36,689.59,137.92,CONMEBOL,11/28/13
10,Brazil,BRA,1102.21,1102,0,668.33,668.33,341.21,170.61,417.86,125.36,689.59,137.92,CONMEBOL,12/19/13
10,Brazil,BRA,1102.21,1102,0,668.33,668.33,341.21,170.61,417.86,125.36,689.59,137.92,CONMEBOL,1/16/14
9,Brazil,BRA,1124.9,1102,1,705.46,705.46,316.84,158.42,445.72,133.72,636.54,127.31,CONMEBOL,2/13/14
9,Brazil,BRA,1103.51,1125,0,688.3,688.3,299.44,149.72,451.8,135.54,649.74,129.95,CONMEBOL,3/13/14
6,Brazil,BRA,1174.14,1104,3,762.73,762.73,297.92,148.96,451.92,135.58,634.38,126.88,CONMEBOL,4/10/14
4,Brazil,BRA,1209.63,1174,2,801.78,801.78,290.81,145.41,451.92,135.58,634.38,126.88,CONMEBOL,5/8/14
3,Brazil,BRA,1242.23,1210,1,845.26,845.26,272.3,136.15,449,134.7,630.6,126.12,CONMEBOL,6/5/14
7,Brazil,BRA,1240.51,1242,-4,730.75,730.75,637.09,318.55,351.54,105.46,428.77,85.75,CONMEBOL,7/17/14
7,Brazil,BRA,1240.75,1241,0,730.75,730.75,637.09,318.55,380.83,114.25,386,77.2,CONMEBOL,8/14/14
6,Brazil,BRA,1291,1241,1,783.69,783.69,625.48,312.74,397.11,119.13,377.18,75.44,CONMEBOL,9/18/14
6,Brazil,BRA,1307.29,1291,0,799.92,799.92,624.11,312.06,391.47,117.44,389.36,77.87,CONMEBOL,10/23/14
6,Brazil,BRA,1316.15,1307,0,796.05,796.05,668.33,334.16,341.21,102.36,417.86,83.57,CONMEBOL,11/27/14
6,Brazil,BRA,1316.15,1316,0,796.05,796.05,668.33,334.16,341.21,102.36,417.86,83.57,CONMEBOL,12/18/14
6,Brazil,BRA,1316.15,1316,0,796.05,796.05,668.33,334.16,341.21,102.36,417.86,83.57,CONMEBOL,1/8/15
6,Brazil,BRA,1332.97,1316,0,796.05,796.05,705.46,352.73,316.84,95.05,445.72,89.14,CONMEBOL,2/12/15
6,Brazil,BRA,1348.16,1333,0,823.82,823.82,688.3,344.15,299.44,89.83,451.8,90.36,CONMEBOL,3/12/15
5,Brazil,BRA,1354.39,1348,1,793.26,793.26,762.73,381.36,297.92,89.38,451.92,90.38,CONMEBOL,4/9/15
5,Brazil,BRA,1371.78,1354,0,793.26,793.26,801.78,400.89,290.81,87.24,451.92,90.38,CONMEBOL,5/7/15
5,Brazil,BRA,1392.1,1372,0,813.06,813.06,820.68,410.34,272.3,81.69,435.06,87.01,CONMEBOL,6/4/15
6,Brazil,BRA,1185.59,1392,-1,521.67,521.67,776.42,388.21,637.09,191.13,422.88,84.58,CONMEBOL,7/9/15
5,Brazil,BRA,1185.75,1186,1,558.94,558.94,730.75,365.37,637.09,191.13,351.54,70.31,CONMEBOL,8/6/15
5,Brazil,BRA,1208.79,1186,0,558.94,558.94,776.42,388.21,609.64,182.89,393.77,78.75,CONMEBOL,9/3/15
7,Brazil,BRA,1204.37,1209,-2,544.58,544.58,783.69,391.85,627.93,188.38,397.8,79.56,CONMEBOL,10/1/15
8,Brazil,BRA,1207.69,1204,-1,542.21,542.21,799.92,399.96,624.11,187.23,391.47,78.29,CONMEBOL,11/5/15
6,Brazil,BRA,1251.46,1208,2,584.7,584.7,796.05,398.02,668.33,200.5,341.21,68.24,CONMEBOL,12/3/15
6,Brazil,BRA,1251.46,1251,0,584.7,584.7,796.05,398.02,668.33,200.5,341.21,68.24,CONMEBOL,1/7/16
6,Brazil,BRA,1251.46,1251,0,584.7,584.7,796.05,398.02,668.33,200.5,341.21,68.24,CONMEBOL,2/4/16
6,Brazil,BRA,1254.25,1251,0,584.7,584.7,796.05,398.02,705.46,211.64,299.44,59.89,CONMEBOL,3/3/16
7,Brazil,BRA,1250.94,1254,-1,565.9,565.9,793.26,396.63,762.73,228.82,297.92,59.58,CONMEBOL,4/7/16
7,Brazil,BRA,1261.23,1251,0,565.9,565.9,793.26,396.63,801.78,240.53,290.81,58.16,CONMEBOL,5/5/16
7,Brazil,BRA,1256.82,1261,0,555.56,555.56,793.26,396.63,845.26,253.58,255.28,51.06,CONMEBOL,6/2/16
9,Brazil,BRA,1155.88,1257,-2,529.77,529.77,558.94,279.47,730.75,219.22,637.09,127.42,CONMEBOL,7/14/16
9,Brazil,BRA,1155.88,1156,0,529.77,529.77,558.94,279.47,730.75,219.22,637.09,127.42,CONMEBOL,8/11/16
4,Brazil,BRA,1322.76,1156,5,690.26,690.26,544.58,272.29,783.69,235.11,625.48,125.1,CONMEBOL,9/15/16
3,Brazil,BRA,1409.91,1323,1,774.01,774.01,542.21,271.1,799.92,239.98,624.11,124.82,CONMEBOL,10/20/16
2,Brazil,BRA,1544.05,1410,1,879.22,879.22,584.7,292.35,796.05,238.81,668.33,133.67,CONMEBOL,11/24/16
2,Brazil,BRA,1544.05,1544,0,879.22,879.22,584.7,292.35,796.05,238.81,668.33,133.67,CONMEBOL,12/22/16
2,Brazil,BRA,1544.05,1544,0,879.22,879.22,584.7,292.35,796.05,238.81,668.33,133.67,CONMEBOL,1/12/17
2,Brazil,BRA,1528.61,1544,0,856.36,856.36,584.7,292.35,796.05,238.81,705.46,141.09,CONMEBOL,2/9/17
2,Brazil,BRA,1533.51,1529,0,856.36,856.36,584.7,292.35,823.82,247.15,688.3,137.66,CONMEBOL,3/9/17
1,Brazil,BRA,1660.84,1534,1,990.59,990.59,565.9,282.95,793.26,237.98,746.63,149.33,CONMEBOL,4/6/17
1,Brazil,BRA,1671.87,1661,0,990.59,990.59,565.9,282.95,793.26,237.98,801.78,160.36,CONMEBOL,5/4/17
1,Brazil,BRA,1715.02,1672,0,1038.91,1038.91,555.56,277.78,793.26,237.98,801.78,160.36,CONMEBOL,6/1/17
2,Brazil,BRA,1602.59,1715,-1,1025.35,1025.35,529.77,264.88,489.07,146.72,828.18,165.64,CONMEBOL,7/6/17
1,Brazil,BRA,1604.06,1603,1,1025.35,1025.35,529.77,264.88,558.94,167.68,730.75,146.15,CONMEBOL,8/10/17
2,Brazil,BRA,1589.68,1604,-1,924.44,924.44,690.26,345.13,544.58,163.38,783.69,156.74,CONMEBOL,9/14/17
2,Brazil,BRA,1618.63,1590,0,908.98,908.98,774.01,387.01,542.21,162.66,799.92,159.98,CONMEBOL,10/16/17
2,Brazil,BRA,1482.53,1619,0,708.3,708.3,879.22,439.61,584.7,175.41,796.05,159.21,CONMEBOL,11/23/17
2,Brazil,BRA,1482.53,1483,0,708.3,708.3,879.22,439.61,584.7,175.41,796.05,159.21,CONMEBOL,12/21/17
2,Brazil,BRA,1482.53,1483,0,708.3,708.3,879.22,439.61,584.7,175.41,796.05,159.21,CONMEBOL,1/18/18
2,Brazil,BRA,1483.72,1483,0,720.93,720.93,856.36,428.18,584.7,175.41,796.05,159.21,CONMEBOL,2/15/18
2,Brazil,BRA,1489.28,1484,0,720.93,720.93,856.36,428.18,584.7,175.41,823.82,164.76,CONMEBOL,3/15/18
2,Brazil,BRA,1384.24,1489,0,560.52,560.52,990.59,495.29,565.9,169.77,793.26,158.65,CONMEBOL,4/12/18
2,Brazil,BRA,1384.24,1384,0,560.52,560.52,990.59,495.29,565.9,169.77,793.26,158.65,CONMEBOL,5/17/18
2,Brazil,BRA,1430.57,1384,0,558.95,558.95,1082.36,541.18,560.21,168.06,811.88,162.38,CONMEBOL,6/7/18
