rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_avg_weighted,three_year_ago_avg,three_year_ago_avg_weighted,confederation,rank_date
3,Germany,GER,1329.86,1305,0,617.83,617.83,860.14,430.07,504.02,151.21,653.74,130.75,UEFA,8/24/11
3,Germany,GER,1289.99,1330,0,557.21,557.21,921.47,460.73,494.01,148.2,619.26,123.85,UEFA,9/21/11
3,Germany,GER,1352.38,1290,0,610.96,610.96,927.06,463.53,432.88,129.86,740.15,148.03,UEFA,10/19/11
3,Germany,GER,1345.21,1352,0,607.88,607.88,926.92,463.46,448.1,134.43,697.19,139.44,UEFA,11/23/11
3,Germany,GER,1345.21,1345,0,607.88,607.88,926.92,463.46,448.1,134.43,697.19,139.44,UEFA,12/21/11
3,Germany,GER,1345.21,1345,0,607.88,607.88,926.92,463.46,448.1,134.43,697.19,139.44,UEFA,1/18/12
2,Germany,GER,1369.04,1345,1,642.96,642.96,885.81,442.9,492.91,147.87,676.56,135.31,UEFA,2/15/12
3,Germany,GER,1332.2,1369,-1,593.5,593.5,937.92,468.96,448.1,134.43,676.56,135.31,UEFA,3/7/12
2,Germany,GER,1344.62,1332,1,655.05,655.05,866.03,433.01,396.01,118.8,688.82,137.76,UEFA,4/11/12
2,Germany,GER,1344.62,1345,0,655.05,655.05,866.03,433.01,396.01,118.8,688.82,137.76,UEFA,5/9/12
3,Germany,GER,1288.3,1345,-1,555.23,555.23,941.81,470.9,427.84,128.35,669.1,133.82,UEFA,6/6/12
2,Germany,GER,1501.7,1288,1,818.37,818.37,655.92,327.96,849.2,254.76,503.07,100.61,UEFA,7/4/12
2,Germany,GER,1473.88,1502,0,818.37,818.37,583.08,291.54,877.88,263.36,503.07,100.61,UEFA,8/8/12
2,Germany,GER,1437,1474,0,764.11,764.11,605.33,302.67,906.47,271.94,491.39,98.28,UEFA,9/5/12
2,Germany,GER,1458.51,1437,0,804.67,804.67,557.21,278.6,921.47,276.44,494.01,98.8,UEFA,10/3/12
