rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_avg_weighted,three_year_ago_avg,three_year_ago_avg_weighted,confederation,rank_date
7,Italy,ITA,1109.8,1059,1,626.23,626.23,422.28,211.14,491.35,147.41,625.1,125.02,UEFA,8/24/11
6,Italy,ITA,1142.19,1110,1,679.41,679.41,375.55,187.77,497.24,149.17,629.21,125.84,UEFA,9/21/11
6,Italy,ITA,1135.37,1142,0,652.14,652.14,405.36,202.68,515.1,154.53,630.11,126.02,UEFA,10/19/11
9,Italy,ITA,1082.35,1135,-3,619.46,619.46,395.3,197.65,513.56,154.07,555.85,111.17,UEFA,11/23/11
9,Italy,ITA,1082.35,1082,0,619.46,619.46,395.3,197.65,513.56,154.07,555.85,111.17,UEFA,12/21/11
9,Italy,ITA,1082.35,1082,0,619.46,619.46,395.3,197.65,513.56,154.07,555.85,111.17,UEFA,1/18/12
8,Italy,ITA,1115.26,1082,1,657.86,657.86,380.05,190.02,550.24,165.07,511.54,102.31,UEFA,2/15/12
9,Italy,ITA,1061.67,1115,-1,603.04,603.04,397.85,198.92,524.66,157.4,511.54,102.31,UEFA,3/7/12
12,Italy,ITA,1040.7,1062,-3,536.3,536.3,474.83,237.42,521.15,156.34,553.21,110.64,UEFA,4/11/12
12,Italy,ITA,1040.7,1041,0,536.3,536.3,474.83,237.42,521.15,156.34,553.21,110.64,UEFA,5/9/12
12,Italy,ITA,976.81,1041,0,442.55,442.55,569.93,284.97,459.42,137.83,557.29,111.46,UEFA,6/6/12
6,Italy,ITA,1192.25,977,6,678.43,678.43,571.68,285.84,436.66,131,484.92,96.98,UEFA,7/4/12
6,Italy,ITA,1192.25,1192,0,678.43,678.43,571.68,285.84,436.66,131,484.92,96.98,UEFA,8/8/12
6,Italy,ITA,1174,1192,0,636.36,636.36,614.64,307.32,432.66,129.8,502.59,100.52,UEFA,9/5/12
8,Italy,ITA,1106.24,1174,-2,554.43,554.43,679.41,339.7,375.55,112.66,497.24,99.45,UEFA,10/3/12
5,Italy,ITA,1169.3,1106,3,618.6,618.6,652.14,326.07,405.36,121.61,515.1,103.02,UEFA,11/7/12
4,Italy,ITA,1164.67,1169,1,633.64,633.64,619.46,309.73,395.3,118.59,513.56,102.71,UEFA,12/19/12
4,Italy,ITA,1164.67,1165,0,633.64,633.64,619.46,309.73,395.3,118.59,513.56,102.71,UEFA,1/17/13
5,Italy,ITA,1157.19,1165,-1,604.2,604.2,657.86,328.93,380.05,114.01,550.24,110.05,UEFA,2/14/13
5,Italy,ITA,1173.16,1157,0,647.36,647.36,603.04,301.52,397.85,119.35,524.66,104.93,UEFA,3/14/13
8,Italy,ITA,1117.49,1173,-3,602.66,602.66,536.3,268.15,474.83,142.45,521.15,104.23,UEFA,4/11/13
8,Italy,ITA,1117.49,1117,0,602.66,602.66,536.3,268.15,474.83,142.45,521.15,104.23,UEFA,5/9/13
8,Italy,ITA,1096.97,1117,0,612.03,612.03,442.55,221.28,569.93,170.98,463.39,92.68,UEFA,6/6/13
6,Italy,ITA,1142.2,1097,2,544.15,544.15,678.43,339.22,571.68,171.5,436.66,87.33,UEFA,7/4/13
6,Italy,ITA,1142.21,1142,0,544.15,544.15,678.43,339.22,571.68,171.5,436.66,87.33,UEFA,8/8/13
4,Italy,ITA,1198.69,1142,2,642.54,642.54,554.43,277.22,679.41,203.82,375.55,75.11,UEFA,9/12/13
8,Italy,ITA,1135.61,1199,-4,549.6,549.6,618.6,309.3,652.14,195.64,405.36,81.07,UEFA,10/17/13
7,Italy,ITA,1120.41,1136,1,538.69,538.69,633.64,316.82,619.46,185.84,395.3,79.06,UEFA,11/28/13
