rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_avg_weighted,three_year_ago_avg,three_year_ago_avg_weighted,confederation,rank_date
28,USA,USA,791.44,777,2,335.41,335.41,430.01,215.01,597.61,179.28,308.68,61.74,CONCACAF,8/24/11
31,USA,USA,741.45,791,-3,290.69,290.69,380.25,190.13,604.26,181.28,396.74,79.35,CONCACAF,9/21/11
34,USA,USA,719.61,741,-3,298.14,298.14,308.72,154.36,634.66,190.4,383.53,76.71,CONCACAF,10/19/11
34,USA,USA,720.85,720,0,285.53,285.53,358.73,179.37,583.78,175.13,404.11,80.82,CONCACAF,11/23/11
34,USA,USA,720.85,721,0,285.53,285.53,358.73,179.37,583.78,175.13,404.11,80.82,CONCACAF,12/21/11
33,USA,USA,720.85,721,1,285.53,285.53,358.73,179.37,583.78,175.13,404.11,80.82,CONCACAF,1/18/12
31,USA,USA,750.47,721,2,308.64,308.64,371.15,185.58,539.98,162,471.24,94.25,CONCACAF,2/15/12
27,USA,USA,771.6,750,4,321.57,321.57,405.6,202.8,509.94,152.98,471.24,94.25,CONCACAF,3/7/12
29,USA,USA,778.69,772,-2,350.25,350.25,360.82,180.41,510.95,153.29,473.71,94.74,CONCACAF,4/11/12
29,USA,USA,778.69,779,0,350.25,350.25,360.82,180.41,510.95,153.29,473.71,94.74,CONCACAF,5/9/12
28,USA,USA,767.03,779,1,341.26,341.26,343.16,171.58,484.73,145.42,543.83,108.77,CONCACAF,6/6/12
36,USA,USA,686.81,767,-8,256.45,256.45,323.22,161.61,499.08,149.72,595.17,119.03,CONCACAF,7/4/12
36,USA,USA,672.13,687,0,256.45,256.45,323.22,161.61,430.01,129,625.33,125.07,CONCACAF,8/8/12
33,USA,USA,697.47,672,3,297.77,297.77,311.45,155.73,411.07,123.32,603.25,120.65,CONCACAF,9/5/12
32,USA,USA,719.79,697,1,339.52,339.52,290.69,145.34,380.25,114.08,604.26,120.85,CONCACAF,10/3/12
27,USA,USA,775.98,720,5,407.37,407.37,298.14,149.07,308.72,92.61,634.66,126.93,CONCACAF,11/7/12
